JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Reuse Marked Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Total Loads,Tile Shape
0-40-96,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,175225,1452056,40,96,62208,3840,8992,2,6000,691200,115200,1,5,96,697200,wide
0-48-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,186746,1498002,48,16,12416,768,58784,2,30000,560000,80000,1,6,16,590000,tall
0-48-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,219658,1633488,48,24,18624,1152,52576,2,20400,571200,81600,1,6,24,591600,tall
0-48-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,257192,1780662,48,32,24832,1536,46368,2,15600,582400,83200,1,6,32,598000,tall
0-48-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,201405,1554686,48,48,37248,2304,33952,2,10800,604800,86400,1,6,48,615600,square
0-48-56,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,155593,1373233,48,56,43456,2688,27744,2,9600,627200,89600,1,6,56,636800,wide
0-48-64,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,213824,1606760,48,64,49664,3072,21536,2,8400,627200,89600,1,6,64,635600,wide
0-48-72,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,148111,1344135,48,72,55872,3456,15328,2,7200,604800,86400,1,6,72,612000,wide
0-48-88,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109169,1188538,48,88,68288,4224,2912,2,6000,616000,88000,1,6,88,622000,wide
0-80-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,190305,1512268,80,16,20608,1280,50592,2,30000,576000,96000,2,5,16,606000,tall
0-80-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,200557,1554774,80,24,30912,1920,40288,2,20400,587520,97920,2,5,24,607920,tall
0-80-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,212468,1602133,80,32,41216,2560,29984,2,15600,599040,99840,2,5,32,614640,tall
0-80-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,182434,1481577,80,48,61824,3840,9376,2,10800,622080,103680,2,5,48,632880,tall
