JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Time Estimate
0-88-20,88,20,28320,1760,66408,1,480,19200,9600,9600,0,1,1,20,480,11,20,154559.99999999985
0-32-50,32,50,26000,1600,68600,1,2304,230400,115200,28800,86400,1,4,50,576,4,50,156672.00000000006
0-24-75,24,75,29400,1800,65392,1,1344,201600,100800,33600,67200,1,3,75,448,3,75,156800.0
0-40-40,40,40,25920,1600,68616,1,3000,240000,120000,24000,96000,1,5,40,600,5,40,157200.0
0-48-30,48,30,23280,1440,71320,1,3840,230400,115200,19200,96000,1,6,30,640,6,30,157439.99999999994
0-80-10,80,10,12880,800,81336,1,14400,288000,144000,28800,115200,2,5,10,1440,10,10,161279.99999999962
0-64-10,64,10,10320,640,84280,1,11520,230400,115200,28800,86400,2,4,10,1440,8,10,161279.99999999962
0-24-60,24,60,23520,1440,71272,1,1680,201600,100800,33600,67200,1,3,60,560,3,60,162400.0
0-48-25,48,25,19400,1200,75200,1,4608,230400,115200,19200,96000,1,6,25,768,6,25,165887.99999999988
0-32-40,32,40,20800,1280,73800,1,2880,230400,115200,28800,86400,1,4,40,720,4,40,167040.0
0-88-15,88,15,21240,1320,73488,1,640,19200,9600,9600,0,1,1,15,640,11,15,167679.99999999977
0-136-15,136,15,32760,2040,61200,1,640,19200,9600,9600,0,1,1,15,640,17,15,167679.99999999977
0-104-15,104,15,25080,1560,69392,1,640,19200,9600,9600,0,1,1,15,640,13,15,167679.99999999977
0-152-15,152,15,36600,2280,57104,1,640,19200,9600,9600,0,1,1,15,640,19,15,167679.99999999977
0-48-24,48,24,18624,1152,75976,1,4800,230400,115200,19200,96000,1,6,24,800,6,24,167999.99999999985
0-24-50,24,50,19600,1200,75192,1,2016,201600,100800,33600,67200,1,3,50,672,3,50,168000.0
0-56-15,56,15,13560,840,81232,1,6720,201600,100800,14400,86400,1,7,15,960,7,15,168959.9999999998
0-40-30,40,30,19440,1200,75096,1,4000,240000,120000,24000,96000,1,5,30,800,5,30,169599.99999999994
0-24-40,24,40,15680,960,79112,1,2520,201600,100800,33600,67200,1,3,40,840,3,40,176400.0
0-48-20,48,20,15520,960,79080,1,5760,230400,115200,19200,96000,1,6,20,960,6,20,178559.99999999974
0-40-25,40,25,16200,1000,78336,1,4800,240000,120000,24000,96000,1,5,25,960,5,25,179519.99999999988
0-104-12,104,12,20064,1248,74408,1,800,19200,9600,9600,0,1,1,12,800,13,12,180799.99999999968
0-88-12,88,12,16992,1056,77736,1,800,19200,9600,9600,0,1,1,12,800,11,12,180799.99999999968
0-152-12,152,12,29280,1824,64424,1,800,19200,9600,9600,0,1,1,12,800,19,12,180799.99999999968
0-136-12,136,12,26208,1632,67752,1,800,19200,9600,9600,0,1,1,12,800,17,12,180799.99999999968
0-40-24,40,24,15552,960,78984,1,5000,240000,120000,24000,96000,1,5,24,1000,5,24,181999.99999999988
0-80-8,80,8,10304,640,83912,1,18000,288000,144000,28800,115200,2,5,8,1800,10,8,183599.99999999948
0-32-30,32,30,15600,960,79000,1,3840,230400,115200,28800,86400,1,4,30,960,4,30,184319.9999999999
0-56-12,56,12,10848,672,83944,1,8400,201600,100800,14400,86400,1,7,12,1200,7,12,186719.9999999997
0-64-8,64,8,8256,512,86344,1,14400,230400,115200,28800,86400,2,4,8,1800,8,8,187199.99999999948
0-24-30,24,30,11760,720,83032,1,3360,201600,100800,33600,67200,1,3,30,1120,3,30,190400.0
0-104-10,104,10,16720,1040,77752,1,960,19200,9600,9600,0,1,1,10,960,13,10,193919.99999999956
0-136-10,136,10,21840,1360,72120,1,960,19200,9600,9600,0,1,1,10,960,17,10,193919.99999999956
0-88-10,88,10,14160,880,80568,1,960,19200,9600,9600,0,1,1,10,960,11,10,193919.99999999956
0-152-10,152,10,24400,1520,69304,1,960,19200,9600,9600,0,1,1,10,960,19,10,193919.99999999956
0-40-20,40,20,12960,800,81576,1,6000,240000,120000,24000,96000,1,5,20,1200,5,20,194399.9999999998
0-32-25,32,25,13000,800,81600,1,4608,230400,115200,28800,86400,1,4,25,1152,4,25,198143.99999999988
0-48-15,48,15,11640,720,82960,1,7680,230400,115200,19200,96000,1,6,15,1280,6,15,199679.99999999956
0-32-24,32,24,12480,768,82120,1,4800,230400,115200,28800,86400,1,4,24,1200,4,24,201599.99999999985
0-24-25,24,25,9800,600,84992,1,4032,201600,100800,33600,67200,1,3,25,1344,3,25,201600.0
0-24-24,24,24,9408,576,85384,1,4200,201600,100800,33600,67200,1,3,24,1400,3,24,204400.0
0-56-10,56,10,9040,560,85752,1,10080,201600,100800,14400,86400,1,7,10,1440,7,10,204479.99999999962
0-88-8,88,8,11328,704,83400,1,1200,19200,9600,9600,0,1,1,8,1200,11,8,213599.9999999994
0-152-8,152,8,19520,1216,74184,1,1200,19200,9600,9600,0,1,1,8,1200,19,8,213599.9999999994
0-136-8,136,8,17472,1088,76488,1,1200,19200,9600,9600,0,1,1,8,1200,17,8,213599.9999999994
0-104-8,104,8,13376,832,81096,1,1200,19200,9600,9600,0,1,1,8,1200,13,8,213599.9999999994
0-24-20,24,20,7840,480,86952,1,5040,201600,100800,33600,67200,1,3,20,1680,3,20,218400.0
0-32-20,32,20,10400,640,84200,1,5760,230400,115200,28800,86400,1,4,20,1440,4,20,218879.99999999977
0-40-15,40,15,9720,600,84816,1,8000,240000,120000,24000,96000,1,5,15,1600,5,15,219199.99999999965
0-48-12,48,12,9312,576,85288,1,9600,230400,115200,19200,96000,1,6,12,1600,6,12,220799.99999999936
0-56-8,56,8,7232,448,87560,1,12600,201600,100800,14400,86400,1,7,8,1800,7,8,231119.9999999995
0-48-10,48,10,7760,480,86840,1,11520,230400,115200,19200,96000,1,6,10,1920,6,10,241919.99999999913
0-40-12,40,12,7776,480,86760,1,10000,240000,120000,24000,96000,1,5,12,2000,5,12,243999.9999999995
0-24-15,24,15,5880,360,88912,1,6720,201600,100800,33600,67200,1,3,15,2240,3,15,246399.99999999997
0-32-15,32,15,7800,480,86800,1,7680,230400,115200,28800,86400,1,4,15,1920,4,15,253439.99999999956
0-40-10,40,10,6480,400,88056,1,12000,240000,120000,24000,96000,1,5,10,2400,5,10,268799.99999999936
0-48-8,48,8,6208,384,88392,1,14400,230400,115200,19200,96000,1,6,8,2400,6,8,273599.99999999884
0-24-12,24,12,4704,288,90088,1,8400,201600,100800,33600,67200,1,3,12,2800,3,12,274399.99999999994
0-32-12,32,12,6240,384,88360,1,9600,230400,115200,28800,86400,1,4,12,2400,4,12,287999.9999999994
0-24-10,24,10,3920,240,90872,1,10080,201600,100800,33600,67200,1,3,10,3360,3,10,302399.99999999994
0-40-8,40,8,5184,320,89352,1,15000,240000,120000,24000,96000,1,5,8,3000,5,8,305999.9999999991
0-32-10,32,10,5200,320,89400,1,11520,230400,115200,28800,86400,1,4,10,2880,4,10,322559.99999999924
0-24-8,24,8,3136,192,91656,1,12600,201600,100800,33600,67200,1,3,8,4200,3,8,344399.9999999999
0-32-8,32,8,4160,256,90440,1,14400,230400,115200,28800,86400,1,4,8,3600,4,8,374399.99999999895
