FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,Total Time,Other Streaming Loads,Reused Streaming Loads,Microkernel Reduction Dim,Kernel Name,Reduction Dim,Kernel Time,Microkernel Count,HW Loop Iters,Microkernel Row Dim,Total Streaming Loads,Case,Start Reuse Streaming Loads,Row Dim,HW Loop Body,Regular Loads,Outer Loop Iters,Weight Matrix Tile Size,Space Remaining
1x1200x400w1-120-25,1,1200,400,1,120,25,0-120-25,48200,1256762,480000,384000,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,25,125805,1280,25,15,960000,1,96000,120,5,19200,3,3000,23000
1x1200x400w1-200-8,1,1200,400,1,200,8,0-200-8,25664,2041321,480000,384000,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,8,322016,2400,8,25,960000,1,96000,200,5,60000,5,1600,45536
1x1200x400w1-200-10,1,1200,400,1,200,10,0-200-10,32080,1800415,480000,384000,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,10,262156,1920,10,25,960000,1,96000,200,5,48000,5,2000,39120
1x1200x400w1-200-16,1,1200,400,1,200,16,0-200-16,51328,1413027,480000,384000,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,16,166116,1200,16,25,960000,1,96000,200,5,30000,5,3200,19872
1x1200x400w1-200-20,1,1200,400,1,200,20,0-200-20,64160,1305117,480000,384000,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,20,138415,960,20,25,960000,1,96000,200,5,24000,5,4000,7040
1x1200x400w1-240-8,1,1200,400,1,240,8,0-240-8,30784,2047918,480000,400000,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,8,324099,2000,8,30,960000,1,80000,240,6,60000,5,1920,40416
1x1200x400w1-240-10,1,1200,400,1,240,10,0-240-10,38480,1810455,480000,400000,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,10,264737,1600,10,30,960000,1,80000,240,6,48000,5,2400,32720
1x1200x400w1-240-16,1,1200,400,1,240,16,0-240-16,61568,1421531,480000,400000,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,16,167227,1000,16,30,960000,1,80000,240,6,30000,5,3840,9632
1x1200x400w1-400-8,1,1200,400,1,400,8,0-400-8,51264,2128425,480000,384000,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,8,344133,1200,8,50,960000,1,96000,400,5,60000,10,3200,19936
1x1200x400w1-400-10,1,1200,400,1,400,10,0-400-10,64080,1885416,480000,384000,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,10,283621,960,10,50,960000,1,96000,400,5,48000,10,4000,7120
