FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Other Streaming Loads,Reused Streaming Loads,Start Reuse Streaming Loads,Microkernel Row Dim,Kernel Name,Row Dim,Outer Loop Iters,Case,Weight Matrix Tile Size,Space Needed in L1,HW Loop Iters,Total Time,HW Loop Body,Regular Loads,Reduction Dim,Space Remaining,Microkernel Reduction Dim,Kernel Time,Microkernel Count,Total Streaming Loads
1x600x600w1-120-30,1,600,600,1,120,30,0-120-30,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,3600,57840,30,1136142,5,12000,30,27760,30,93928,800,720000
1x600x600w1-120-40,1,600,600,1,120,40,0-120-40,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,4800,77120,40,1120268,5,9000,40,8480,40,79030,600,720000
1x600x600w1-200-8,1,600,600,1,200,8,0-200-8,360000,288000,72000,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,200,5,1,1600,25664,8,1314257,5,45000,8,59936,8,270935,1800,720000
1x600x600w1-200-10,1,600,600,1,200,10,0-200-10,360000,288000,72000,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,200,5,1,2000,32080,10,1266684,5,36000,10,53520,10,223362,1440,720000
1x600x600w1-200-12,1,600,600,1,200,12,0-200-12,360000,288000,72000,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,200,5,1,2400,38496,12,1230031,5,30000,12,47104,12,185763,1200,720000
1x600x600w1-200-15,1,600,600,1,200,15,0-200-15,360000,288000,72000,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,200,5,1,3000,48120,15,1198438,5,24000,15,37480,15,154170,960,720000
1x600x600w1-200-20,1,600,600,1,200,20,0-200-20,360000,288000,72000,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,200,5,1,4000,64160,20,1160046,5,18000,20,21440,20,117975,720,720000
1x600x600w1-200-24,1,600,600,1,200,24,0-200-24,360000,288000,72000,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,200,5,1,4800,76992,24,1143596,5,15000,24,8608,24,101626,600,720000
1x600x600w1-200-25,1,600,600,1,200,25,0-200-25,360000,288000,72000,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,200,5,1,5000,80200,25,1147347,5,14400,25,5400,25,103358,576,720000
1x600x600w1-600-8,1,600,600,1,600,8,0-600-8,360000,288000,72000,75,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,600,15,1,4800,76864,8,1245794,5,45000,8,8736,8,201489,600,720000
