FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time,Before Computation_cc_0,After Computation_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,cc_tiles_cc_0,Before Computation_cc_1,After Computation_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,cc_tiles_cc_1,Before Computation_cc_2,After Computation_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,cc_tiles_cc_2,Before Computation_cc_3,After Computation_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,cc_tiles_cc_3,Before Computation_cc_4,After Computation_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,cc_tiles_cc_4,Before Computation_cc_5,After Computation_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,cc_tiles_cc_5,Before Computation_cc_6,After Computation_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,cc_tiles_cc_6,Before Computation_cc_7,After Computation_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,cc_tiles_cc_7,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total
128x128x128w64-8-8,417874,417873,417874,417880,417891,417903,417894,417894,421577,417904,3204,509,106547,311326,512,3204,509,109996,307876,512,3204,507,108129,309742,512,3204,500,105295,312575,512,3202,488,104824,313045,512,3194,483,106908,310968,512,3194,491,108530,309345,512,3194,490,102872,315002,512,4096,853101,2489879
128x128x128w8-128-8,397431,397418,397433,397461,397444,397402,397419,397410,400977,397468,3123,428,58404,339201,256,3123,445,59662,337947,256,3123,429,58936,338672,256,3123,400,54243,343364,256,3121,416,56249,341357,256,3113,465,53393,344220,256,3113,447,54150,343462,256,3113,455,55899,341712,256,2048,450936,2729935
128x128x128w8-16-16,520203,520203,520204,520206,520206,520216,520203,520200,523358,520217,2854,321,217227,302275,1024,2854,303,215956,303528,1024,2854,303,215211,304274,1024,2854,299,212462,307021,1024,2852,300,211814,307670,1024,2844,298,212110,307382,1024,2844,311,213915,305577,1024,2844,314,214782,304710,1024,8192,1713477,2442437
128x128x128w8-16-32,401278,401272,401278,401274,401277,401281,401286,401289,404561,401291,2989,310,108416,292662,512,2989,309,109714,291357,512,2989,302,109070,292000,512,2989,305,109018,292051,512,2987,301,109517,291551,512,2987,296,108341,292726,512,2979,298,107954,293120,512,2979,294,108280,292793,512,4096,870310,2338260
128x128x128w8-16-64,340286,340288,340286,340310,340275,340295,340284,340282,343809,340316,3212,328,52460,287900,256,3212,318,54308,286044,256,3212,319,54277,286074,256,3212,294,52748,287602,256,3210,328,53425,286924,256,3210,307,51654,288694,256,3202,325,52960,287395,256,3202,326,52948,287406,256,2048,424780,2298039
128x128x128w8-16-8,773080,773066,773082,773066,773066,773072,773079,773079,776152,773087,2779,309,433393,337950,2048,2779,316,435227,336109,2048,2779,299,436119,335216,2048,2779,314,433188,338146,2048,2777,313,436568,334765,2048,2777,306,432297,339035,2048,2769,306,430129,341210,2048,2769,305,432439,338899,2048,16384,3469360,2701330
128x128x128w8-32-16,441307,441271,441311,441313,441297,441301,441320,441312,444563,441321,2952,320,109893,331224,512,2952,349,111733,329377,512,2952,308,110699,330410,512,2952,305,108803,332305,512,2950,320,111392,329715,512,2950,315,108668,332438,512,2942,303,108317,332796,512,2942,310,109411,331701,512,4096,878916,2649966
128x128x128w8-32-32,371100,371108,371085,371085,371083,371092,371100,371100,374615,371113,3205,329,54968,316207,256,3205,311,55021,316144,256,3205,333,54078,317086,256,3205,332,54079,317084,256,3203,333,53542,317620,256,3195,331,52563,318606,256,3195,322,52739,318429,256,3195,321,53234,317933,256,2048,430224,2539109
128x128x128w8-32-8,578124,578113,578126,578113,578134,578116,578142,578143,581274,578145,2852,303,220663,356742,1024,2852,318,223958,353451,1024,2852,304,224082,353326,1024,2852,316,217629,359778,1024,2850,294,219947,357459,1024,2850,311,220066,357339,1024,2842,292,216862,360550,1024,2842,291,215871,361541,1024,8192,1759078,2860186
128x128x128w8-64-16,381716,381722,381717,381731,381723,381684,381701,381713,385170,381737,3113,358,54877,326943,256,3113,345,57736,324077,256,3113,350,56614,325199,256,3113,336,52879,328934,256,3111,344,53972,327841,256,3111,383,52330,329483,256,3103,374,53042,328779,256,3103,362,54426,327395,256,2048,435876,2618651
128x128x128w8-64-8,458183,458172,458194,458189,458195,458180,458212,458196,461473,458213,2946,358,115570,342461,512,2946,364,118763,339263,512,2946,341,115494,342531,512,2946,345,109868,348156,512,2944,338,113144,344879,512,2944,352,110320,347702,512,2936,327,109241,348788,512,2936,342,112989,345039,512,4096,905389,2758819
128x128x128w8-8-128,312661,312662,312664,312672,312649,312656,312655,312659,316141,312673,3206,294,23895,288806,256,3205,276,24145,288539,256,3204,276,23790,288896,256,3203,267,22557,290128,256,3200,292,23802,288885,256,3199,286,22474,290214,256,3198,288,22809,289880,256,3197,285,21004,291686,256,2048,184476,2317034
128x128x128w8-8-16,755665,755662,755674,755668,755671,755673,755662,755660,758769,755681,2808,312,433834,320097,2048,2808,308,436660,317264,2048,2808,295,436048,317875,2048,2808,300,435505,318417,2048,2806,296,435755,318166,2048,2806,293,434184,319736,2048,2798,311,434999,318928,2048,2798,312,434712,319214,2048,16384,3481697,2549697
128x128x128w8-8-32,513505,513505,513506,513484,513488,513495,513501,513504,516716,513511,2931,296,217176,295603,1024,2931,289,217938,294834,1024,2931,287,219644,293127,1024,2931,308,215266,297504,1024,2929,303,216252,296517,1024,2929,295,217479,295289,1024,2921,296,216658,296117,1024,2921,292,215624,297150,1024,8192,1736037,2366141
128x128x128w8-8-64,396229,396237,396234,396242,396251,396243,396249,396247,399643,396258,3111,317,107879,288157,512,3111,304,109101,286930,512,3111,306,107833,288197,512,3111,297,105834,290195,512,3109,287,107465,288563,512,3109,294,105067,290960,512,3101,295,107938,288096,512,3101,296,105945,290088,512,4096,857062,2311186
128x128x128w8-8-8,1209558,1209559,1209542,1209542,1209542,1209544,1209559,1209553,1212585,1209563,2743,310,837377,368397,4096,2743,293,837360,368398,4096,2743,310,837361,368397,4096,2743,310,835823,369935,4096,2741,310,833002,372756,4096,2741,308,838132,367626,4096,2733,301,838389,367377,4096,2733,299,835681,370077,4096,32768,6693125,2952963
