FakeNN JSON Name,Unnamed: 0,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w28-32-31,,257898.0,257893.0,257861.0,257889.0,256832.0,256832.0,256842.0,256832.0,366592.0,257906.0
128x128x128w28-32-32,,313108.0,313116.0,313122.0,313110.0,312037.0,312053.0,312053.0,312053.0,359457.0,313128.0
128x128x128w29-24-33,,195083.0,195081.0,195077.0,195092.0,195060.0,194349.0,194346.0,194348.0,350797.0,195095.0
128x128x128w29-32-23,,279605.0,279608.0,279620.0,279577.0,279625.0,278846.0,278838.0,278846.0,383213.0,279630.0
128x128x128w29-32-24,,279504.0,279467.0,279483.0,279423.0,279498.0,278695.0,278695.0,278695.0,382638.0,279505.0
128x128x128w29-32-30,,260914.0,260851.0,260901.0,260914.0,260930.0,259929.0,259902.0,259903.0,369624.0,260935.0
128x128x128w29-32-31,,260736.0,260744.0,260723.0,260747.0,260735.0,259701.0,259691.0,259691.0,368331.0,260750.0
128x128x128w30-24-32,,257233.0,257213.0,257236.0,257259.0,257270.0,257273.0,256460.0,256437.0,333315.0,257279.0
128x128x128w30-32-29,,263450.0,263448.0,263457.0,263496.0,263493.0,263501.0,262503.0,262460.0,356411.0,263507.0
128x128x128w31-32-28,,264115.0,264125.0,264119.0,264115.0,264105.0,264109.0,264107.0,263135.0,355146.0,264127.0
128x128x128w31-32-29,,265098.0,265089.0,265087.0,265097.0,265081.0,265100.0,265098.0,264074.0,355718.0,265106.0
128x128x128w32-24-29,,216229.0,216237.0,216242.0,216251.0,216261.0,216254.0,216236.0,216217.0,319738.0,216264.0
128x128x128w32-24-30,,216232.0,216230.0,216244.0,216264.0,216229.0,216265.0,216263.0,216250.0,319828.0,216269.0
128x128x128w32-32-20,,298296.0,298221.0,298221.0,298280.0,298286.0,298313.0,298304.0,298304.0,350595.0,298319.0
128x128x128w32-32-27,,267400.0,267394.0,267367.0,267426.0,267416.0,267426.0,267416.0,267433.0,337458.0,267441.0
128x128x128w32-32-28,,266673.0,266615.0,266619.0,266672.0,266688.0,266680.0,266656.0,266664.0,335836.0,266693.0
128x128x128w33-24-29,,191488.0,191384.0,191358.0,191363.0,191383.0,191368.0,191372.0,191367.0,370674.0,191489.0
128x128x128w33-24-30,,191027.0,190938.0,190946.0,190946.0,190937.0,190919.0,190919.0,190916.0,369661.0,191028.0
128x128x128w33-24-31,,191896.0,191852.0,191846.0,191854.0,191858.0,191840.0,191834.0,191826.0,371768.0,191897.0
128x128x128w34-24-29,,191744.0,191753.0,191618.0,191639.0,191642.0,191642.0,191652.0,191644.0,370295.0,191754.0
128x128x128w34-24-30,,191319.0,191338.0,191250.0,191258.0,191249.0,191237.0,191229.0,191221.0,369569.0,191339.0
128x128x128w35-24-28,,192178.0,192172.0,192174.0,192040.0,192043.0,192023.0,192028.0,192014.0,354275.0,192179.0
128x128x128w39-24-26,0.0,194050.0,194047.0,194068.0,194050.0,194038.0,194030.0,194065.0,193855.0,338777.0,194072.0
