JSON Name,Kernel Name,Kernel Time,Total Time,M,N,K,m,n,k
1x360x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x360x945_f64,66749,374272,1,360,945,1,40,105
1x48x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x48x80_f64,66749,374272,1,48,80,1,48,80
1x48x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x48x240_f64,3443,296182,1,48,240,1,48,80
1x48x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x48x400_f64,5173,299378,1,48,400,1,48,80
1x48x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x48x560_f64,6981,300347,1,48,560,1,48,80
1x48x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x48x720_f64,8688,302182,1,48,720,1,48,80
1x96x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x96x80_f64,2724,298259,1,96,80,1,48,80
1x96x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x96x240_f64,6719,301628,1,96,240,1,48,80
1x96x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x96x400_f64,10812,305148,1,96,400,1,48,80
1x96x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x96x560_f64,14865,309848,1,96,560,1,48,80
1x96x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x96x720_f64,18906,314154,1,96,720,1,48,80
1x144x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x144x80_f64,4009,301763,1,144,80,1,48,80
1x144x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x144x240_f64,9268,307638,1,144,240,1,48,80
1x144x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x144x400_f64,15112,313635,1,144,400,1,48,80
1x144x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x144x560_f64,20744,318701,1,144,560,1,48,80
1x144x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x144x720_f64,26492,323959,1,144,720,1,48,80
1x192x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x192x80_f64,4720,304265,1,192,80,1,48,80
1x192x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x192x240_f64,11799,310702,1,192,240,1,48,80
1x192x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x192x400_f64,19133,319180,1,192,400,1,48,80
1x192x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x192x560_f64,26504,326056,1,192,560,1,48,80
1x192x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x192x720_f64,33830,333128,1,192,720,1,48,80
1x240x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x240x80_f64,33830,333128,1,240,80,1,48,80
1x240x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x240x240_f64,14335,317470,1,240,240,1,48,80
1x240x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x240x400_f64,23378,326184,1,240,400,1,48,80
1x240x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x240x560_f64,32419,334817,1,240,560,1,48,80
1x240x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x240x720_f64,40892,343062,1,240,720,1,48,80
1x288x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x288x80_f64,7030,310988,1,288,80,1,48,80
1x288x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x288x240_f64,16925,321614,1,288,240,1,48,80
1x288x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x288x400_f64,27647,333179,1,288,400,1,48,80
1x288x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x288x560_f64,37844,343129,1,288,560,1,48,80
1x288x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x288x720_f64,48327,352451,1,288,720,1,48,80
1x336x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x336x80_f64,7381,312972,1,336,80,1,48,80
1x336x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x336x240_f64,19304,324412,1,336,240,1,48,80
1x336x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x336x400_f64,31603,339875,1,336,400,1,48,80
1x336x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x336x560_f64,43619,350091,1,336,560,1,48,80
1x336x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x336x720_f64,55819,361472,1,336,720,1,48,80
1x384x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x384x80_f64,8533,317001,1,384,80,1,48,80
1x384x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x384x240_f64,8533,317001,1,384,240,1,48,80
1x384x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x384x400_f64,35920,344277,1,384,400,1,48,80
1x384x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x384x560_f64,49439,358702,1,384,560,1,48,80
1x384x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x384x720_f64,63296,373463,1,384,720,1,48,80
1x432x80w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x432x80_f64,9322,320404,1,432,80,1,48,80
1x432x240w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x432x240_f64,24568,336543,1,432,240,1,48,80
1x432x400w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x432x400_f64,40341,352545,1,432,400,1,48,80
1x432x560w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x432x560_f64,56044,367960,1,432,560,1,48,80
1x432x720w1-48-80,main$async_dispatch_0_matmul_transpose_b_1x432x720_f64,71766,383640,1,432,720,1,48,80
1x48x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x48x85_f64,1671,294327,1,48,85,1,48,85
1x48x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x48x255_f64,3422,296122,1,48,255,1,48,85
1x48x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x48x425_f64,5107,298080,1,48,425,1,48,85
1x48x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x48x595_f64,6852,299837,1,48,595,1,48,85
1x48x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x48x765_f64,8431,301247,1,48,765,1,48,85
1x96x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x96x85_f64,2774,297922,1,96,85,1,48,85
1x96x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x96x255_f64,6759,302513,1,96,255,1,48,85
1x96x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x96x425_f64,10825,306375,1,96,425,1,48,85
1x96x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x96x595_f64,14950,309528,1,96,595,1,48,85
1x96x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x96x765_f64,18824,313450,1,96,765,1,48,85
1x144x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x144x85_f64,3885,303843,1,144,85,1,48,85
1x144x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x144x255_f64,9112,307374,1,144,255,1,48,85
1x144x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x144x425_f64,14865,312669,1,144,425,1,48,85
1x144x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x144x595_f64,20332,317644,1,144,595,1,48,85
1x144x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x144x765_f64,25951,322870,1,144,765,1,48,85
1x192x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x192x85_f64,4458,304590,1,192,85,1,48,85
1x192x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x192x255_f64,11477,310157,1,192,255,1,48,85
1x192x425w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x192x425_f64,18746,317843,1,192,425,1,48,85
1x192x595w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x192x595_f64,25888,326390,1,192,595,1,48,85
1x192x765w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x192x765_f64,32985,332971,1,192,765,1,48,85
1x240x85w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x240x85_f64,5198,306288,1,240,85,1,48,85
1x240x255w1-48-85,main$async_dispatch_0_matmul_transpose_b_1x240x255_f64,13885,316394,1,240,255,1,48,85
