JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Actual HW Loop Runs,Total Loads,Tile Shape
0-24-167,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89767,1152928,24,167,65464,4008,20136,2,1800,601200,300600,100200,200400,1,3,167,600,603000,wide
0-24-177,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,95301,1158097,24,177,69384,4248,16216,2,1800,637200,318600,106200,212400,1,3,177,600,639000,wide
0-24-187,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,99394,1163888,24,187,73304,4488,12296,2,1800,673200,336600,112200,224400,1,3,187,600,675000,wide
0-24-197,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,104523,1167319,24,197,77224,4728,8376,2,1800,709200,354600,118200,236400,1,3,197,600,711000,wide
0-24-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,161762,1225886,24,22,8624,528,76976,2,11400,501600,250800,83600,167200,1,3,22,3800,513000,tall
0-24-33,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,140831,1203903,24,33,12936,792,72664,2,7800,514800,257400,85800,171600,1,3,33,2600,522600,wide
0-24-44,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,126053,1190165,24,44,17248,1056,68352,2,6000,528000,264000,88000,176000,1,3,44,2000,534000,wide
0-24-55,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,117045,1179445,24,55,21560,1320,64040,2,4800,528000,264000,88000,176000,1,3,55,1600,532800,wide
0-24-65,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,114246,1177077,24,65,25480,1560,60120,2,4200,546000,273000,91000,182000,1,3,65,1400,550200,wide
0-24-75,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,103858,1167953,24,75,29400,1800,56200,2,3600,540000,270000,90000,180000,1,3,75,1200,543600,wide
0-24-86,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80593,1144043,24,86,33712,2064,51888,2,3000,516000,258000,86000,172000,1,3,86,1000,519000,wide
0-24-96,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,116965,1180497,24,96,37632,2304,47968,2,3000,576000,288000,96000,192000,1,3,96,1000,579000,wide
0-40-107,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,71827,1136510,40,107,69336,4280,16264,2,2400,513600,256800,51360,205440,1,5,107,480,516000,wide
0-40-117,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,81756,1146434,40,117,75816,4680,9784,2,2400,561600,280800,56160,224640,1,5,117,480,564000,wide
0-40-127,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,87309,1151987,40,127,82296,5080,3304,2,2400,609600,304800,60960,243840,1,5,127,480,612000,wide
0-40-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,120672,1182193,40,22,14256,880,71344,2,11400,501600,250800,50160,200640,1,5,22,2280,513000,tall
0-40-33,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,112161,1175801,40,33,21384,1320,64216,2,7800,514800,257400,51480,205920,1,5,33,1560,522600,tall
0-40-44,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,103664,1165185,40,44,28512,1760,57088,2,6000,528000,264000,52800,211200,1,5,44,1200,534000,wide
0-40-55,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,84042,1146926,40,55,35640,2200,49960,2,4800,528000,264000,52800,211200,1,5,55,960,532800,wide
0-40-65,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,84394,1149077,40,65,42120,2600,43480,2,4200,546000,273000,54600,218400,1,5,65,840,550200,wide
0-40-75,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,81960,1146638,40,75,48600,3000,37000,2,3600,540000,270000,54000,216000,1,5,75,720,543600,wide
0-40-86,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,77634,1142317,40,86,55728,3440,29872,2,3000,516000,258000,51600,206400,1,5,86,600,519000,wide
0-40-96,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89566,1153034,40,96,62208,3840,23392,2,3000,576000,288000,57600,230400,1,5,96,600,579000,wide
