FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w31-32-30,351386,351378,351376,351382,328706,328682,328701,328388,355457,351387
128x128x128w31-32-31,349438,349428,349426,349428,326689,326709,326715,326558,353519,349440
128x128x128w31-32-32,339516,339503,339511,339517,318782,318801,318818,317687,343503,339524
128x128x128w32-24-26,315442,315448,315456,315451,315451,315466,315437,315432,319472,315470
128x128x128w32-24-27,315003,314999,315011,315013,315014,315020,315018,314993,319049,315024
128x128x128w32-24-28,316113,316102,316107,316114,316122,316122,316101,316101,320151,316126
128x128x128w32-24-29,315646,315646,315655,315668,315662,315663,315663,315639,319738,315670
128x128x128w32-24-30,315735,315731,315746,315745,315732,315754,315736,315727,319828,315758
128x128x128w32-24-31,316476,316484,316484,316484,316488,316488,316477,316467,320577,316493
128x128x128w32-24-32,304763,304769,304761,304781,304805,304795,304793,304795,308755,304807
128x128x128w32-32-17,348468,348447,348464,348495,348491,348474,348464,348493,352272,348500
128x128x128w32-32-19,347819,347811,347827,347846,347791,347844,347834,347840,351847,347850
128x128x128w32-32-20,346551,346542,346582,346599,346591,346602,346591,346573,350595,346608
128x128x128w32-32-22,341694,341700,341686,341649,341676,341686,341692,341701,345805,341709
128x128x128w32-32-23,340964,340973,340979,340937,340980,340958,340973,340976,345077,340985
128x128x128w32-32-24,340490,340470,340481,340497,340476,340483,340490,340462,344596,340502
128x128x128w32-32-25,341626,341612,341604,341590,341612,341610,341622,341622,345761,341629
128x128x128w32-32-26,333905,333885,333912,333954,333913,333948,333953,333943,338068,333960
128x128x128w32-32-27,333329,333326,333314,333305,333305,333289,333305,333344,337458,333352
128x128x128w32-32-28,331679,331624,331664,331659,331689,331693,331680,331684,335836,331699
128x128x128w32-32-29,331085,331087,331087,331098,331069,331101,331080,331096,335262,331107
128x128x128w32-32-30,329024,329037,328959,329034,329002,329022,329035,329013,333211,329042
128x128x128w32-32-31,327924,327932,327933,327953,327943,327926,327930,327881,332125,327957
128x128x128w33-24-26,365512,365513,365513,365515,365519,365298,365315,365289,369650,365524
128x128x128w33-24-27,365845,365845,365809,365825,365825,365662,365660,365663,369972,365847
128x128x128w33-24-28,366413,366411,366417,366415,366417,366267,366267,366248,370572,366422
128x128x128w33-24-29,366484,366484,366455,366465,366469,366371,366371,366367,370674,366486
128x128x128w33-24-30,365470,365470,365474,365474,365473,365389,365395,365371,369661,365478
128x128x128w33-24-31,367596,367595,367582,367578,367586,367546,367546,367547,371768,367597
128x128x128w34-24-26,365678,365683,365483,365487,365465,365476,365472,365470,369760,365686
128x128x128w34-24-27,365528,365534,365330,365348,365352,365355,365355,365355,369630,365536
128x128x128w34-24-28,365854,365863,365685,365714,365703,365716,365708,365716,369954,365864
128x128x128w34-24-29,366163,366169,366031,366051,366053,366056,366056,366056,370295,366171
128x128x128w34-24-30,365439,365447,365379,365380,365386,365368,365380,365358,369569,365448
128x128x128w35-24-26,349721,349721,349689,349701,349704,349711,349712,349505,353870,349723
128x128x128w35-24-27,350167,350164,350169,350178,350179,350156,350156,349977,354332,350184
128x128x128w35-24-28,350126,350126,350127,350127,350128,350119,350116,349963,354275,350133
128x128x128w35-24-29,350452,350453,350448,350456,350453,350456,350440,350322,354648,350462
128x128x128w36-24-26,349304,349312,349313,349318,349093,349098,349100,349095,353414,349321
128x128x128w36-24-27,349828,349838,349836,349845,349646,349659,349660,349649,353944,349848
128x128x128w36-24-28,350128,350133,350135,350139,350002,349986,349988,349980,354252,350142
128x128x128w37-24-26,350152,349959,349963,349958,349946,349952,349957,349937,354299,350153
128x128x128w37-24-27,350443,350276,350286,350282,350278,350278,350283,350254,354571,350444
128x128x128w38-24-26,333974,333978,333973,333981,333983,333987,333782,333782,338075,333992
128x128x128w39-24-26,334621,334618,334604,334409,334427,334423,334421,334422,338777,334622
